epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.568,1.75639,2.97586,1.74095,0.58304,0.39693,0.40719,0.19389,1.78462,1.69614,1.90645,0.000122888,0.000122888,0.000122888
2,201.465,1.76767,2.11336,1.70101,0.60118,0.45575,0.51153,0.23119,1.84911,1.70468,2.01915,0.00024419,0.00024419,0.00024419
3,273.874,1.75908,1.98436,1.71315,0.61116,0.4528,0.50928,0.24468,1.74613,1.66164,1.92286,0.000363457,0.000363457,0.000363457
4,345.329,1.77855,1.97833,1.73922,0.55888,0.506,0.50429,0.23693,1.83217,1.5424,1.96543,0.000360842,0.000360842,0.000360842
5,416.918,1.76612,1.87966,1.74636,0.55276,0.45013,0.4783,0.22552,1.77644,1.55228,1.93103,0.00035779,0.00035779,0.00035779
6,487.798,1.73552,1.82871,1.70617,0.65236,0.58918,0.63331,0.29739,1.71895,1.38747,1.87041,0.000354737,0.000354737,0.000354737
7,559.061,1.73503,1.75762,1.70485,0.71025,0.51176,0.58936,0.30183,1.70422,1.35348,1.85182,0.000351685,0.000351685,0.000351685
8,630.5,1.71583,1.72148,1.7034,0.66403,0.58874,0.61619,0.31376,1.65169,1.28736,1.80791,0.000348632,0.000348632,0.000348632
9,703.14,1.71375,1.69904,1.70016,0.62621,0.65932,0.69659,0.3235,1.72394,1.26266,1.85049,0.00034558,0.00034558,0.00034558
10,774.996,1.70215,1.67247,1.6975,0.72928,0.5249,0.65204,0.31068,1.66461,1.29473,1.82011,0.000342528,0.000342528,0.000342528
11,847.134,1.69987,1.64081,1.67707,0.58805,0.63163,0.65711,0.33652,1.63232,1.23601,1.76734,0.000339475,0.000339475,0.000339475
12,919.684,1.68597,1.57542,1.6603,0.64619,0.66661,0.70974,0.34854,1.58871,1.17275,1.75134,0.000336423,0.000336423,0.000336423
13,992.174,1.67254,1.56215,1.6518,0.709,0.60576,0.68835,0.34263,1.59967,1.14001,1.75106,0.00033337,0.00033337,0.00033337
14,1063.7,1.66147,1.52384,1.6487,0.70318,0.65568,0.68428,0.34236,1.60959,1.19707,1.75832,0.000330317,0.000330317,0.000330317
15,1137.04,1.64977,1.52652,1.64437,0.77672,0.62498,0.76592,0.4011,1.59887,1.1122,1.7231,0.000327265,0.000327265,0.000327265
16,1210.23,1.6127,1.50174,1.61846,0.61546,0.65968,0.69566,0.35256,1.60154,1.18534,1.74423,0.000324212,0.000324212,0.000324212
17,1282.05,1.62448,1.47032,1.62315,0.71661,0.66558,0.69619,0.34345,1.6274,1.0754,1.76117,0.00032116,0.00032116,0.00032116
18,1353.62,1.63277,1.45134,1.63192,0.80088,0.69685,0.80176,0.41276,1.55079,1.03095,1.68931,0.000318107,0.000318107,0.000318107
